"Year",2010.0000000000,2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000
"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Model Status",2.0000000000
"** World Economic Parameters"
"* OUTPUT AND CAPTIAL ACCUMULATION"
"Capital Share",0.3000000000
"Depreciation",0.1000000000
"World Capital Risk Premium","Not Supported ?"
"Fraction Diversifiable Risk","Not Supported ?"
"Diversifiable Risk ( per year)","Not Supported ?"
"Depreciation with no Risk (per year)","Not Supported ?"
"Initial Output (2005 US International $, trillions)",63.5819868191
"Initial K (Capital Stock)",135.0000000000
"Initial A (Total Factor Productivity)",3.8000000000
"* WELFARE"
"Time Preference plus Risk (per year)",0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000
"Time Premium",0.0150000000
"Non-Diversifiable Global Risk (per year)","Not Supported ?"
"Social Time Preference Factor",1.0000000000,0.9282603254,0.8616672317,0.7998515049,0.7424704182,0.6892058320,0.6397624299,0.5938660814,0.5512623219,0.5117149423,0.4750046789,0.4409279978,0.4092959667,0.3799332073,0.3526769226,0.3273759949,0.3038901476,0.2820891673,0.2618521822,0.2430669919,0.2256294450,0.2094428620,0.1944174992,0.1804700511,0.1675231884,0.1555051294,0.1443492420,0.1339936743,0.1243810117,0.1154579584,0.1071750421,0.0994863394,0.0923492218,0.0857241187,0.0795742983,0.0738656640,0.0685665653,0.0636476222,0.0590815625,0.0548430705,0.0509086464,0.0472564767,0.0438663124,0.0407193575,0.0377981640,0.0350865360,0.0325694393,0.0302329184,0.0280640186,0.0260507151,0.0241818453,0.0224470475,0.0208367037,0.0193418853,0.0179543048,0.0166662688,0.0154706361,0.0143607777,0.0133305402,0.0123742116
