"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Date",2010.0000000000,2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000
"gTFP_mup",1.0000000000,0.9509900499,0.9043820750,0.8600583546,0.8179069376,0.7778213594,0.7397003734,0.7034476950,0.6689717586,0.6361854861,0.6050060671,0.5753547500,0.5471566424,0.5203405227,0.4948386596,0.4705866416,0.4475232138,0.4255901234,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727
"gTFP_mup",1.0000000000,0.9752487531,0.9511101305,0.9275689688,0.9046104803,0.8822202429,0.8603841919,0.8390886104,0.8183201210,0.7980656777,0.7783125571,0.7590483508,0.7402609577,0.7219385760,0.7040696961,0.6866430932,0.6696478205,0.6530732019,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259
"gTFP_mup",1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
"gTFP_mup",1.0000000000,1.0252512531,1.0511401320,1.0776827376,1.1048955772,1.1327955751,1.1614000829,1.1907268904,1.2207942365,1.2516208208,1.2832258149,1.3156288748,1.3488501525,1.3829103092,1.4178305275,1.4536325250,1.4903385678,1.5279714843,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790,1.5665546790
"gTFP_mup",1.0000000000,1.0510100501,1.1046221254,1.1609689554,1.2201900399,1.2824319950,1.3478489153,1.4166027560,1.4888637336,1.5648107472,1.6446318218,1.7285245735,1.8166966986,1.9093664882,2.0067633684,2.1091284684,2.2167152172,2.3297899715,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746,2.4486326746
"gPOP_mup",1.0000000000,0.9509900499,0.9043820750,0.8600583546,0.8179069376,0.7778213594,0.7397003734,0.7034476950,0.6689717586,0.6361854861,0.6050060671,0.5753547500,0.5471566424,0.5203405227,0.4948386596,0.4705866416,0.4475232138,0.4255901234,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727,0.4047319727
"gPOP_mup",1.0000000000,0.9752487531,0.9511101305,0.9275689688,0.9046104803,0.8822202429,0.8603841919,0.8390886104,0.8183201210,0.7980656777,0.7783125571,0.7590483508,0.7402609577,0.7219385760,0.7040696961,0.6866430932,0.6696478205,0.6530732019,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259,0.6369088259
"gPOP_mup",1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
