Temperature:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graph,,,,,
I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,V1,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,SurfacePredictions,GAMS,Error,,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,SurfacePredictions,GAMS,Error
11,11,11,4.6550536,1.0046998,1.0042254,Atmospheric Temperature (deg C above preindustrial),0.8,1.000736301,1.212640319,1.437038638,1.675301955,1.928647908,2.198016066,2.48399985,2.786822157,3.106343108,3.442090174,3.793302905,4.158431183,4.535697607,4.923175705,5.318822069,5.720502921,6.126014121,6.533094342,6.936436408,7.33177256,7.715331028,8.083905104,8.434801138,8.765742407,9.074761363,9.360092274,9.620066715,9.853009651,10.05713108,10.23040586,10.37043148,10.47425005,10.54647429,10.59261196,10.61741252,10.62495145,10.61870768,10.60163445,10.57622381,10.54456513,10.50839782,10.46915867,10.42802404,10.38594732,10.343692,10.27670543,10.18932207,10.08533125,9.968025006,9.840251369,9.704472237,9.562566193,9.416155345,9.266627753,9.11516102,8.962745773,8.810208201,8.658231122,8.507373316,6.440237,6.533094342,1.421%,,4.6550536,1.0046998,1.0042254,6.440237,6.533094342,1.421%
12,12,12,5.4045105,1.0064334,0.9951694,Atmospheric Temperature (deg C above preindustrial),0.8,1.028037914,1.26674168,1.516237805,1.776825626,2.048770595,2.332184662,2.62696737,2.932787904,3.249093484,3.57513348,3.909991799,4.252622535,4.601885922,4.956583284,5.315491404,5.67739881,6.041149744,6.405706924,6.767024081,7.124074751,7.475524883,7.820027582,8.15635854,8.483166663,8.799138677,9.103184603,9.394400282,9.672031665,9.935442056,10.18408249,10.41746491,10.63513772,10.83666301,11.02159483,11.18945794,11.33972602,11.47179867,11.58497619,11.67843067,11.75117202,11.80200742,11.83231301,11.8458983,11.84602328,11.83546312,11.80298158,11.75266355,11.68804107,11.61215029,11.52758837,11.43656972,11.34083755,11.24187423,11.14092823,11.03904076,10.93707119,10.83572072,10.735554,10.65141684,6.349812,6.405706924,0.873%,,5.4045105,1.0064334,0.9951694,6.349812,6.405706924,0.873%
13,13,13,2.8336102,0.993224,1.0085136,Atmospheric Temperature (deg C above preindustrial),0.8,0.922012485,1.053190834,1.193088906,1.341083827,1.496423158,1.658262618,1.825697928,1.997792302,2.173600079,2.352186535,2.532643796,2.714102784,2.895741134,3.076786963,3.25651814,3.434256231,3.609353309,3.78116777,3.946591344,4.105317748,4.2573634,4.402887046,4.54209358,4.675185535,4.802340945,4.92370533,5.039390831,5.14947862,5.254022494,5.353052549,5.446578421,5.534591869,5.617068645,5.693969674,5.765241583,5.83081665,5.890612217,5.944529593,5.992452487,6.034244961,6.069748867,6.098780747,6.121128075,6.136544707,6.144745238,6.133130739,6.105999767,6.066944058,6.018948872,5.964481856,5.905572207,5.843798167,5.780446779,5.716554553,5.652944297,5.590258025,5.534051105,5.495029625,5.482515879,3.814011,3.78116777,-0.869%,,2.8336102,0.993224,1.0085136,3.814011,3.78116777,-0.869%
14,14,14,4.6488593,0.9996568,0.9984162,Atmospheric Temperature (deg C above preindustrial),0.8,1.000503114,1.210426863,1.429144801,1.656039749,1.890443825,2.131612675,2.378722158,2.630878714,2.887137093,3.146521052,3.408044135,3.67072878,3.933622838,4.195813142,4.456436196,4.714686321,4.969821852,5.221170225,5.465139718,5.701843507,5.931358454,6.153723765,6.368944962,6.576999806,6.77784444,6.971418888,7.15765157,7.336462741,7.507766891,7.671474208,7.827491238,7.975720823,8.116061449,8.248406075,8.372640491,8.488641282,8.596273394,8.695387329,8.785815958,8.867370924,8.939838592,9.002975457,9.056502873,9.100100839,9.133400342,9.141648342,9.129409084,9.100616142,9.058642278,9.006365568,8.946232036,8.880218803,8.809997693,8.736969993,8.66229941,8.586942668,8.511677491,8.440445889,8.394965019,5.303036,5.221170225,-1.568%,,4.6488593,0.9996568,0.9984162,5.303036,5.221170225,-1.568%
15,15,15,1.8574437,1.0030225,1.006326,Atmospheric Temperature (deg C above preindustrial),0.8,0.858829402,0.930570289,1.014796634,1.111243771,1.219663046,1.339732591,1.471010549,1.612919276,1.764750931,1.925686547,2.094599345,2.270180235,2.451110972,2.636076822,2.823775152,3.012918268,3.202228534,3.390422604,3.574052541,3.750485162,3.917654912,4.074005922,4.218388317,4.349948944,4.468031356,4.572088592,4.661607257,4.736039167,4.794735593,4.836877841,4.861395814,4.866862148,4.855472983,4.831813313,4.799524734,4.76147708,4.719910597,4.676553725,4.632720612,4.589391748,4.547280524,4.506888025,4.468548008,4.432463671,4.39873759,4.348738194,4.286662685,4.215883607,4.139099501,4.05846194,3.975684549,3.89192093,3.808098259,3.72494861,3.643038329,3.562794764,3.48453004,3.418518296,3.415855174,3.27417,3.390422604,3.429%,,1.8574437,1.0030225,1.006326,3.27417,3.390422604,3.429%
16,16,16,1.6747996,0.9930098,1.0050933,Atmospheric Temperature (deg C above preindustrial),0.8,0.84248558,0.898519136,0.965710136,1.041926481,1.125281968,1.214117061,1.306978101,1.402597219,1.499873756,1.597857263,1.69573188,1.79280179,1.888477436,1.982262151,2.073738728,2.162555276,2.248409173,2.331027024,2.408067109,2.480054365,2.547582628,2.611204509,2.671385103,2.728489876,2.78278955,2.834472328,2.883658251,2.930413053,2.974760319,3.01669158,3.056174313,3.09315807,3.127578992,3.159362965,3.188427674,3.214683766,3.238035282,3.25837949,3.275606228,3.289596809,3.300222528,3.307342795,3.310802859,3.310431104,3.306035832,3.292009797,3.270964834,3.245097354,3.216300938,3.18625771,3.156899484,3.129450929,3.105231018,3.085623865,3.072045014,3.065900847,3.068543598,3.081233785,3.10515486,2.339181,2.331027024,-0.350%,,1.6747996,0.9930098,1.0050933,2.339181,2.331027024,-0.350%
17,17,17,3.559735,1.0039432,0.9982429,Atmospheric Temperature (deg C above preindustrial),0.8,0.956586117,1.122131391,1.296634657,1.480168489,1.672748146,1.874259831,2.08443014,2.302822954,2.528853463,2.761811792,3.000890914,3.245215341,3.493868435,3.745917313,4.000435263,4.25652249,4.513327162,4.770070387,5.023426225,5.272527452,5.516419175,5.754202826,5.985096621,6.208453166,6.423722279,6.630108811,6.826972793,7.0137963,7.190154643,7.355691417,7.510096787,7.653088358,7.78439398,7.903735871,8.010815446,8.105298234,8.186798217,8.254860818,8.308943606,8.348393518,8.372418937,8.380054337,8.374021343,8.357372924,8.332658641,8.290604261,8.234915487,8.168732328,8.094700915,8.015039778,7.931601555,7.845805993,7.758834511,7.671657573,7.585061133,7.499671451,7.415977891,7.334353522,7.285132465,4.735723,4.770070387,0.720%,,3.559735,1.0039432,0.9982429,4.735723,4.770070387,0.720%
18,18,18,1.6923573,1.0014074,1.0002883,Atmospheric Temperature (deg C above preindustrial),0.8,0.844160414,0.901842314,0.971210835,1.050776855,1.139264287,1.235528024,1.338506641,1.447198024,1.560649349,1.677955311,1.798260478,1.92076311,2.044718845,2.169443437,2.294314228,2.418770433,2.542312564,2.66450157,2.782883868,2.897244287,3.007363156,3.113054139,3.214176487,3.31063477,3.402373096,3.489367427,3.571617781,3.649141108,3.721965129,3.79012316,3.853649823,3.912577522,3.966933533,4.016552087,4.061149848,4.10048391,4.134333617,4.162485462,4.184720096,4.200800609,4.210461295,4.213396126,4.209246026,4.197583755,4.177894629,4.144666417,4.101866388,4.052604368,3.999300662,3.943823411,3.887601744,3.831631472,3.776659407,3.723229985,3.673161949,3.632815745,3.608027512,3.60376541,3.623919316,2.6058,2.66450157,2.203%,,1.6923573,1.0014074,1.0002883,2.6058,2.66450157,2.203%
19,19,19,1.8567845,1.0001557,1.0008457,Atmospheric Temperature (deg C above preindustrial),0.8,0.858774325,0.92944478,1.010551032,1.10085517,1.199249797,1.30470388,1.416234305,1.532894097,1.653770639,1.777989231,1.904718789,2.033177719,2.162638781,2.29243239,2.421948138,2.550634551,2.677997161,2.803594932,2.924909082,3.04183866,3.154296904,3.262216251,3.3655487,3.464263915,3.558346345,3.647792049,3.732605569,3.812797014,3.888379389,3.959366189,4.025769219,4.087596603,4.144850934,4.197527518,4.24561267,4.289081998,4.327898644,4.36201141,4.391352732,4.415836414,4.43535506,4.449777112,4.458943356,4.462662735,4.460707217,4.44094058,4.408028994,4.365698205,4.316905362,4.263981781,4.208752293,4.152553414,4.096415911,4.041119307,3.987837463,3.943001584,3.912571383,3.901718664,3.914624767,2.755432,2.803594932,1.718%,,1.8567845,1.0001557,1.0008457,2.755432,2.803594932,1.718%
20,20,20,4.2533021,0.9992723,1.0094805,Atmospheric Temperature (deg C above preindustrial),0.8,0.985287055,1.181394826,1.389399602,1.610242666,1.844633574,2.092997269,2.355455766,2.631835701,2.921693835,3.224353728,3.538937199,3.864092828,4.198378047,4.540285492,4.888261731,5.240714957,5.596006417,5.95241598,6.305191615,6.650802413,6.986421926,7.309786688,7.619075363,7.912806996,8.189755341,8.448875957,8.689242874,8.909991856,9.110267437,9.289170873,9.44570594,9.578718959,9.686828462,9.768338478,9.821711409,9.852062663,9.863777166,9.860594538,9.845686651,9.821728024,9.790959444,9.755245212,9.716124399,9.674856505,9.632461932,9.570632969,9.493139861,9.403233316,9.303700534,9.196921426,9.08492509,8.969244349,8.851188528,8.731863641,8.612193634,8.49294146,8.374729251,8.258057107,8.154039733,5.923117,5.95241598,0.492%,,4.2533021,0.9992723,1.0094805,5.923117,5.95241598,0.492%
