Temperature:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graph,,,,,
I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,V1,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,SurfacePredictions,GAMS,Error,,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,SurfacePredictions,GAMS,Error
21,21,21,1.6393541,0.9927153,0.9914728,Atmospheric Temperature (deg C above preindustrial),0.8,0.839028272,0.890322891,0.950079365,1.015187318,1.083152613,1.152009832,1.22023759,1.286682106,1.350490808,1.411055913,1.467967143,1.520972439,1.569945513,1.614859179,1.655763517,1.692768107,1.726027681,1.755730714,1.780032344,1.800249899,1.817475882,1.832579398,1.846226177,1.85890657,1.870965268,1.882629401,1.894033436,1.905240357,1.916259141,1.92705886,1.937579835,1.9477423,1.957453006,1.966610148,1.975217474,1.983337236,1.991010303,1.998263585,2.005115819,2.011582071,2.017677269,2.023419012,2.028829829,2.033939046,2.038784364,2.04341321,2.047883892,2.052266528,2.056643689,2.061110618,2.065852548,2.071000447,2.076706305,2.083143094,2.090503914,2.099000724,2.10886342,2.120341112,2.133715287,1.776259,1.755730714,-1.169%,,1.6393541,0.9927153,0.9914728,1.776259,1.755730714,-1.169%
22,22,22,3.2236437,1.0070902,1.0053901,Atmospheric Temperature (deg C above preindustrial),0.8,0.94134276,1.093009973,1.256552061,1.433617997,1.625735911,1.834163813,2.059799219,2.303137496,2.563917657,2.84128603,3.13401203,3.440529623,3.758980796,4.087255068,4.423020535,4.763743013,5.106690516,5.448920659,5.784698204,6.108365782,6.415085133,6.700814845,6.962129398,7.195988695,7.399490958,7.569606958,7.702872318,7.795744978,7.855572118,7.888623595,7.90022611,7.894882705,7.876379276,7.847879455,7.812009041,7.770930944,7.726411516,7.679879048,7.632475147,7.585099663,7.538449799,7.493053976,7.449301029,7.407465244,7.367727706,7.295357263,7.1958046,7.073790467,6.933387256,6.778101956,6.610962227,6.43420145,6.249746075,6.059243142,5.864088763,5.665456244,5.464322956,5.261495431,5.057632389,5.280464,5.448920659,3.092%,,3.2236437,1.0070902,1.0053901,5.280464,5.448920659,3.092%
23,23,23,4.5371762,1.007486,1.0074511,Atmospheric Temperature (deg C above preindustrial),0.8,0.996273511,1.204547946,1.427305841,1.667184673,1.926689963,2.207985909,2.512659119,2.84125392,3.193659756,3.569119062,3.966264266,4.383171383,4.817418937,5.26614242,5.726075442,6.193568644,6.664575223,7.134586434,7.595530258,8.038911453,8.457369974,8.844464248,9.194274109,9.500929029,9.758061168,9.9586546,10.11148718,10.22423075,10.30356423,10.35527746,10.38436677,10.39512286,10.39121144,10.37574694,10.35135981,10.32025749,10.2842795,10.24494689,10.20350641,10.16096979,10.11814844,10.07568395,10.03407475,9.99369939,9.954836584,9.867367758,9.737413429,9.570433928,9.371249872,9.144086988,8.892643671,8.619710755,8.327607551,8.018221342,7.69304399,7.353204677,6.999497954,6.632406381,6.252117016,7.013067,7.134586434,1.703%,,4.5371762,1.007486,1.0074511,7.013067,7.134586434,1.703%
24,24,24,4.8271878,1.0020627,1.0097973,Atmospheric Temperature (deg C above preindustrial),0.8,1.007161012,1.226275837,1.459148231,1.707539266,1.972985998,2.256684306,2.559425894,2.881263129,3.221745239,3.580022079,3.954889766,4.344842412,4.748123426,5.162770954,5.586652692,6.017484808,6.452827489,6.890043903,7.323147374,7.746434121,8.155166718,8.54542747,8.913936823,9.25787203,9.57469546,9.861990668,10.11729889,10.33794486,10.52083675,10.66221935,10.76597208,10.83837112,10.88485829,10.9101302,10.91822034,10.91257473,10.89612117,10.87133246,10.84028375,10.80470438,10.76602432,10.72541576,10.68383,10.64203,10.60061907,10.52968328,10.43402878,10.31789634,10.18500145,10.03858484,9.881471599,9.715832434,9.543548787,9.366238888,9.185284669,9.001858296,8.816947479,8.631379057,8.445840574,6.85758,6.890043903,0.471%,,4.8271878,1.0020627,1.0097973,6.85758,6.890043903,0.471%
25,25,25,3.0298501,0.9988569,1.009303,Atmospheric Temperature (deg C above preindustrial),0.8,0.931997037,1.073878191,1.226279057,1.389704466,1.56446314,1.750635849,1.948069562,2.156390528,2.3750299,2.603256461,2.840212075,3.084946538,3.336236945,3.592763985,3.853213457,4.116277871,4.38064554,4.644969538,4.905310482,5.15900666,5.404010165,5.638746522,5.862002329,6.072835085,6.270500274,6.454391668,6.623991525,6.778827928,6.918436865,7.042326883,7.149944186,7.240635862,7.31360848,7.367878483,7.402209325,7.415555389,7.412377547,7.396408327,7.370752089,7.337973426,7.300175042,7.259066137,7.216022282,7.172137628,7.128270255,7.06914874,6.998214848,6.918362566,6.832012647,6.74118111,6.647543144,6.552318757,6.456524774,6.360996116,6.266407442,6.173294081,6.082071646,5.993053981,5.943443618,4.562893,4.644969538,1.767%,,3.0298501,0.9988569,1.009303,4.562893,4.644969538,1.767%
26,26,26,3.9622193,0.9964173,1.0027284,Atmospheric Temperature (deg C above preindustrial),0.8,0.97360938,1.156264723,1.347426965,1.546461934,1.752639701,1.965144248,2.183090047,2.405542386,2.631538845,2.860109944,3.090297646,3.321170886,3.551837688,3.781453656,4.009226639,4.234417246,4.45633439,4.674324124,4.884968035,5.088252008,5.284294034,5.473252934,5.655282712,5.83051218,5.999038076,6.160924971,6.316208226,6.464897964,6.606983009,6.742434295,6.871207542,6.993245146,7.108477322,7.216822553,7.318187415,7.412465835,7.499537831,7.579267761,7.651502105,7.716066761,7.772763834,7.821367858,7.861621347,7.893229458,7.915853414,7.915811679,7.897456387,7.864506351,7.820123212,7.766981816,7.707335471,7.64298722,7.575447326,7.505968573,7.435579304,7.365113795,7.29523977,7.235987877,7.203238418,4.769124,4.674324124,-2.028%,,3.9622193,0.9964173,1.0027284,4.769124,4.674324124,-2.028%
27,27,27,2.8799466,0.9935609,0.9913078,Atmospheric Temperature (deg C above preindustrial),0.8,0.924422958,1.055519182,1.190839578,1.328209434,1.465748756,1.601866471,1.735241834,1.864800296,1.989687702,2.109244803,2.222983095,2.330562419,2.431770524,2.526504612,2.614754865,2.696589927,2.772144336,2.841607979,2.902773967,2.957071093,3.005768063,3.049946212,3.09049796,3.128139256,3.163428612,3.196788367,3.228525662,3.258851855,3.287899766,3.315738597,3.342386572,3.367821476,3.391989318,3.414811339,3.436189617,3.456011451,3.474152734,3.490480443,3.504854418,3.517128514,3.527151227,3.534765882,3.539810429,3.542116894,3.541510546,3.537189671,3.530098247,3.52108348,3.51092018,3.500330802,3.490180707,3.48106134,3.473605116,3.468474182,3.46635017,3.467924098,3.473887072,3.484925946,3.501742874,2.902773,2.841607979,-2.152%,,2.8799466,0.9935609,0.9913078,2.902773,2.841607979,-2.152%
28,28,28,3.6291151,0.9973924,0.9925683,Atmospheric Temperature (deg C above preindustrial),0.8,0.959605615,1.126505405,1.298901324,1.475158872,1.653789967,1.833442167,2.012891975,2.191040346,2.366909049,2.539637019,2.708476214,2.872786818,3.032031816,3.185771166,3.333655881,3.475422523,3.610888799,3.73995129,3.859910248,3.972027408,4.077409233,4.176987565,4.271522124,4.361614203,4.447725212,4.530196419,4.609267923,4.685095885,4.757767611,4.827314424,4.893722421,4.956941303,5.016891495,5.073469769,5.126553573,5.176004248,5.221669285,5.263383761,5.300971053,5.334242919,5.362999013,5.387025872,5.406095388,5.419962752,5.428363791,5.422120972,5.404291436,5.377445115,5.343731571,5.304939691,5.26255122,5.217731793,5.171440536,5.124457857,5.079258325,5.040117792,5.011075799,4.995838569,4.997751991,3.826774,3.73995129,-2.321%,,3.6291151,0.9973924,0.9925683,3.826774,3.73995129,-2.321%
29,29,29,2.5400364,1.0060494,0.9998557,Atmospheric Temperature (deg C above preindustrial),0.8,0.905833762,1.021291781,1.146519261,1.281788254,1.427334607,1.583261739,1.749492882,1.92575736,2.11159956,2.306401837,2.509414788,2.71979025,2.936613977,3.158936365,3.385648666,3.61522687,3.846223246,4.077278884,4.304816896,4.526730457,4.74105424,4.946117526,5.140564693,5.323319803,5.493531457,5.650514118,5.793692412,5.922550183,6.036583798,6.135258063,6.217962355,6.283963933,6.332354366,6.361983413,6.37137181,6.364344735,6.344848601,6.316122595,6.280806521,6.241034086,6.198513475,6.154596764,6.110339559,6.066552055,6.023842586,5.966221215,5.897241113,5.819849981,5.736480974,5.649133848,5.559448659,5.468590173,5.377517737,5.287008634,5.197681319,5.110017551,5.02438285,4.941045,4.905619661,3.931608,4.077278884,3.573%,,2.5400364,1.0060494,0.9998557,3.931608,4.077278884,3.573%
30,30,30,3.7914425,0.9970321,1.0032649,Atmospheric Temperature (deg C above preindustrial),0.8,0.966525657,1.142122458,1.326420634,1.518953979,1.719146809,1.926316593,2.139687245,2.358408744,2.581579567,2.808269336,3.037539834,3.268463257,3.50013702,3.731694742,3.962313117,4.191214267,4.417662681,4.640954866,4.857670782,5.067552032,5.270497998,5.466480894,5.655501144,5.837565146,6.012675142,6.180825363,6.342001221,6.496179758,6.643330422,6.783415723,6.916391536,7.042206988,7.160803915,7.272115905,7.376066949,7.47256973,7.56152355,7.642811901,7.716299662,7.781829893,7.839220173,7.888258386,7.92869784,7.960251461,7.982584669,7.981579251,7.961744782,7.926931442,7.88040978,7.824944291,7.762861576,7.696020509,7.625976264,7.554017132,7.481198951,7.408376709,7.33623317,7.273876695,7.238813843,4.713838,4.640954866,-1.570%,,3.7914425,0.9970321,1.0032649,4.713838,4.640954866,-1.570%
31,31,31,5.1233867,0.998502,0.9937876,Atmospheric Temperature (deg C above preindustrial),0.8,1.017989363,1.24491313,1.47917963,1.719309691,1.963900635,2.211610676,2.461155794,2.711313457,2.960929398,3.208924999,3.454303876,3.696156946,3.933665769,4.166104302,4.392839486,4.613331342,4.827133624,5.033896568,5.230233141,5.417245461,5.595895154,5.766987295,5.931173649,6.088965532,6.240750623,6.386810579,6.527337749,6.662450211,6.792204796,6.916608095,7.035625535,7.149188709,7.257201157,7.359542773,7.456073026,7.546633142,7.631047371,7.709123455,7.780652376,7.845407439,7.903142744,7.953591042,7.996460952,8.031433442,8.058157328,8.064578026,8.054442251,8.03096562,7.996894863,7.954565702,7.905956815,7.852664596,7.796035652,7.737196048,7.677078833,7.616449437,7.555928763,7.506813727,7.480568015,5.108864,5.033896568,-1.489%,,5.1233867,0.998502,0.9937876,5.108864,5.033896568,-1.489%
32,32,32,3.7640875,1.0011328,0.993552,Atmospheric Temperature (deg C above preindustrial),0.8,0.965372935,1.138728623,1.318956003,1.505076017,1.69616527,1.891317891,2.089631366,2.290206518,2.492154989,2.694609903,2.896737078,3.097745311,3.296895081,3.493505649,3.686960988,3.876715552,4.062301578,4.243340674,4.416845472,4.583578294,4.744103495,4.898830067,5.04804517,5.191940653,5.330634046,5.464185162,5.592609152,5.715886707,5.833971917,5.94679823,6.054282853,6.156329858,6.252832236,6.343673049,6.428725849,6.507854447,6.58091212,6.647740322,6.708166913,6.762003939,6.80904494,6.849061758,6.881800772,6.90697841,6.924275686,6.921299153,6.902061091,6.869970473,6.827909195,6.778301573,6.723177984,6.664153319,6.602571984,6.539541785,6.475965389,6.412569027,6.352156296,6.306370066,6.285688329,4.308001,4.243340674,-1.524%,,3.7640875,1.0011328,0.993552,4.308001,4.243340674,-1.524%
33,33,33,1.7259473,1.001489,0.9923112,Atmospheric Temperature (deg C above preindustrial),0.8,0.84729843,0.906728933,0.975745054,1.052296463,1.13468711,1.221483159,1.311453492,1.403531047,1.496787178,1.590413924,1.683710978,1.776075409,1.866993082,1.956031321,2.042832878,2.127111718,2.208651809,2.287310942,2.360947672,2.430497828,2.4966235,2.559782635,2.6202814,2.678313667,2.733990816,2.787364163,2.838441776,2.887200964,2.933597472,2.977572111,3.019055443,3.057970946,3.09423703,3.127768151,3.158475232,3.186265543,3.211042138,3.232702941,3.251139515,3.266235546,3.277865053,3.285890295,3.29015936,3.290503362,3.286733177,3.273257107,3.252670968,3.227168535,3.198649285,3.168806118,3.139580828,3.112214796,3.088040548,3.068452631,3.054874099,3.048716434,3.051335397,3.063994324,3.087877651,2.254872,2.287310942,1.418%,,1.7259473,1.001489,0.9923112,2.254872,2.287310942,1.418%
34,34,34,1.908455,1.0010749,0.993139,Atmospheric Temperature (deg C above preindustrial),0.8,0.863016015,0.936613872,1.01872386,1.107642849,1.20192458,1.300311212,1.401691498,1.505075609,1.609579921,1.714417431,1.818891127,1.922388736,2.02437807,2.124402716,2.222078242,2.317089531,2.409190381,2.498207328,2.581908835,2.66117422,2.736642017,2.808765462,2.877856127,2.944118079,3.007674487,3.06858821,3.126877607,3.182528546,3.235503427,3.285747818,3.333195246,3.377770516,3.419391878,3.457972288,3.493419961,3.525638341,3.554525607,3.579973788,3.601867533,3.620082564,3.634483819,3.644923265,3.65123734,3.653243971,3.650739016,3.634533664,3.607948323,3.573835051,3.534702713,3.492821023,3.45076527,3.410258046,3.373140868,3.341335039,3.316791799,3.301429501,3.297062543,3.305338729,3.327740559,2.472361,2.498207328,1.035%,,1.908455,1.0010749,0.993139,2.472361,2.498207328,1.035%
35,35,35,2.8133674,0.9956719,1.0071482,Atmospheric Temperature (deg C above preindustrial),0.8,0.920948376,1.051150993,1.190338879,1.338110355,1.493936574,1.657174833,1.827087652,2.00286522,2.183648909,2.368553962,2.556689938,2.747177942,2.939164033,3.131828367,3.324389574,3.516103586,3.706255238,3.894139279,4.076600439,4.253015569,4.423073287,4.586632267,4.743641829,4.894097885,5.038018771,5.175432138,5.30636788,5.430854275,5.548915762,5.660571486,5.765834147,5.864708897,5.957192167,6.043270347,6.122918292,6.19609762,6.262754781,6.322818868,6.376199131,6.422782134,6.462428501,6.494969136,6.520200787,6.537880733,6.54772024,6.536211912,6.507941176,6.466746721,6.415825367,6.357825135,6.294928385,6.228835871,6.160937967,6.092357483,6.023988534,5.956531336,5.891303529,5.842458342,5.822482526,3.896292,3.894139279,-0.055%,,2.8133674,0.9956719,1.0071482,3.896292,3.894139279,-0.055%
36,36,36,5.462402,1.0049145,0.9984972,Atmospheric Temperature (deg C above preindustrial),0.8,1.030082762,1.271306662,1.524097637,1.78898209,2.066398883,2.356590042,2.659547845,2.975000979,3.302426428,3.64107707,3.990017648,4.348164062,4.714322735,5.087228404,5.465580103,5.848076748,6.233455979,6.620543511,7.00507975,7.385063515,7.758235551,8.122561623,8.476284064,8.817917038,9.146217466,9.46014719,9.758833647,10.04153215,10.30759083,10.55641815,10.78745274,11.00013454,11.19387664,11.36803653,11.52188584,11.65457687,11.76510426,11.85225983,11.91457815,11.95415597,11.97512106,11.98101578,11.97486453,11.95923545,11.93629667,11.89248571,11.83171218,11.75735964,11.67233857,11.57914037,11.47989171,11.37624889,11.26962312,11.16120504,11.0519893,10.94279829,10.83430427,10.72704983,10.63049834,6.564095,6.620543511,0.853%,,5.462402,1.0049145,0.9984972,6.564095,6.620543511,0.853%
37,37,37,4.3574614,0.9928868,1.0075668,Atmospheric Temperature (deg C above preindustrial),0.8,0.989360139,1.18846147,1.396897156,1.614043258,1.839111407,2.071191852,2.3092904,2.552360706,2.799332306,3.049134394,3.300715219,3.553057008,3.805186344,4.05617982,4.305164589,4.551312859,4.793828316,5.031920272,5.261853398,5.483354391,5.696483147,5.901441692,6.098472216,6.287805884,6.46963992,6.644129857,6.811389488,6.971494318,7.124486233,7.270378176,7.409158279,7.540793175,7.665230439,7.78240018,7.892215835,7.99457424,8.089355024,8.176419402,8.255608363,8.326740299,8.389608036,8.44397524,8.489572075,8.526089933,8.553174815,8.556868517,8.541542305,8.510947879,8.468288933,8.416288057,8.35724942,8.293026805,8.225180829,8.155013264,8.083599364,8.01181774,7.940377567,7.876775346,7.838943261,5.163264,5.031920272,-2.610%,,4.3574614,0.9928868,1.0075668,5.163264,5.031920272,-2.610%
38,38,38,1.8158967,1.0019279,1.0064965,Atmospheric Temperature (deg C above preindustrial),0.8,0.855307033,0.923777006,1.004743231,1.09770443,1.202194212,1.317702003,1.443632344,1.579291679,1.723893624,1.87657552,2.036420688,2.202348322,2.373072965,2.547351199,2.723983545,2.901812031,3.079711231,3.256569195,3.429138188,3.595204942,3.753065248,3.901456088,4.039463077,4.166428876,4.281871943,4.38541753,4.476739637,4.55551134,4.621360385,4.673826648,4.712317557,4.736056622,4.744018305,4.734838745,4.713180147,4.682742373,4.646433031,4.606515754,4.564732515,4.522404472,4.480515006,4.439777999,4.400693813,4.363595058,4.328683885,4.27985679,4.220909744,4.154869667,4.084138034,4.010611104,3.935782201,3.860644734,3.785985293,3.712413676,3.640390757,3.570253623,3.502237751,3.456564372,3.465959655,3.148815,3.256569195,3.309%,,1.8158967,1.0019279,1.0064965,3.148815,3.256569195,3.309%
39,39,39,3.9568658,0.9989788,1.0095764,Atmospheric Temperature (deg C above preindustrial),0.8,0.973390126,1.157270261,1.352620253,1.560275865,1.780844147,2.014658825,2.261767148,2.521940104,2.794698643,3.079349598,3.375026157,3.680530381,3.994458859,4.31535981,4.641749293,4.972116987,5.304916549,5.638531341,5.968418082,6.291293012,6.604556068,6.906144855,7.194414879,7.468041296,7.725937702,7.967188041,8.19098824,8.396594657,8.583276669,8.750270854,8.896734102,9.021692607,9.123982975,9.202180457,9.254507482,9.283633742,9.294039887,9.289537464,9.273351,9.248192157,9.216326493,9.179633317,9.139659105,9.097664951,9.054668497,8.993382302,8.91747475,8.830092675,8.733921039,8.631241309,8.523988924,8.413616676,8.301360012,8.188257117,8.075169937,7.962804991,7.851733224,7.742408464,7.654373516,5.599873,5.638531341,0.686%,,3.9568658,0.9989788,1.0095764,5.599873,5.638531341,0.686%
40,40,40,3.4729347,0.9978035,1.0026909,Atmospheric Temperature (deg C above preindustrial),0.8,0.952751565,1.114368139,1.284481983,1.462654879,1.648353371,1.840943861,2.039701169,2.2438253,2.452462257,2.66472587,2.879718533,3.096549509,3.314350048,3.53228489,3.749559925,3.965425687,4.179176065,4.390140811,4.595040848,4.793603302,4.985683789,5.171202576,5.350110603,5.52237202,5.687955643,5.846831049,5.998966914,6.144330322,6.282886358,6.414597645,6.539423676,6.657319879,6.768236393,6.872116582,6.96889526,7.058496673,7.140832189,7.215797723,7.28327083,7.343107453,7.395138241,7.439164353,7.474952605,7.502229734,7.520675358,7.516348791,7.493775166,7.456799205,7.408670919,7.352123809,7.289446589,7.222456744,7.152666255,7.081319882,7.009430681,6.93781242,6.867108769,6.808341711,6.777512309,4.437608,4.390140811,-1.081%,,3.4729347,0.9978035,1.0026909,4.437608,4.390140811,-1.081%
41,41,41,2.5763906,1.0042013,1.0038305,Atmospheric Temperature (deg C above preindustrial),0.8,0.9079322,1.025814605,1.154088506,1.293245355,1.443684384,1.60562799,1.779080746,1.963820223,2.159409761,2.365225123,2.580488716,2.804306666,3.03529171,3.271967103,3.512848578,3.756453937,4.001308252,4.245944467,4.48655003,4.72037555,4.945068952,5.158717417,5.359801618,5.547119473,5.719704384,5.876747591,6.017527126,6.141342382,6.247451591,6.335008284,6.402991517,6.450122594,6.474757469,6.479246602,6.468180196,6.44534996,6.41386789,6.376269342,6.334602359,6.290504963,6.24527184,6.199911716,6.155196542,6.111703483,6.069850622,6.011102044,5.939293478,5.857624769,5.768753302,5.674878135,5.577817206,5.47886704,5.379106553,5.27942047,5.180522977,5.082980499,4.987232936,4.893613011,4.848026262,4.103981,4.245944467,3.344%,,2.5763906,1.0042013,1.0038305,4.103981,4.245944467,3.344%
42,42,42,2.6724435,0.9949869,1.0058437,Atmospheric Temperature (deg C above preindustrial),0.8,0.913339605,1.035783114,1.166721707,1.30544645,1.451167815,1.603035447,1.76015843,1.921625363,2.086523278,2.2539545,2.4230508,2.592984411,2.762975686,2.932297225,3.10027423,3.266280515,3.429728905,3.59005336,3.744297837,3.892324752,4.034211008,4.170119338,4.300231427,4.424715621,4.543713442,4.657335904,4.765664592,4.868754701,4.966638586,5.059329077,5.146822236,5.229099445,5.30612881,5.377865932,5.444254104,5.505223986,5.5606928,5.610563094,5.654721062,5.693034438,5.725349928,5.75149012,5.771249798,5.784391489,5.790639991,5.777638225,5.749669161,5.710292655,5.662451644,5.608565402,5.550611942,5.490119361,5.428325818,5.366221355,5.304585485,5.244020566,5.192150154,5.158280097,5.150411105,3.608889,3.59005336,-0.525%,,2.6724435,0.9949869,1.0058437,3.608889,3.59005336,-0.525%
43,43,43,3.4011132,0.9998957,0.9906834,Atmospheric Temperature (deg C above preindustrial),0.8,0.949527698,1.106255885,1.268505079,1.434808821,1.603854312,1.774449176,1.945504186,2.116025137,2.285109473,2.451944949,2.615808738,2.776066231,2.932169247,3.083653787,3.230137813,3.371319862,3.506979905,3.636984614,3.75869452,3.873330376,3.981893287,4.08518358,4.183825168,4.278291059,4.368927672,4.455976814,4.539594875,4.619869174,4.696831643,4.770470063,4.840737178,4.907557937,4.970835157,5.030453816,5.08628421,5.138184116,5.186000133,5.229568289,5.268714035,5.303251665,5.332983232,5.357696967,5.377165213,5.391141811,5.399358856,5.392059275,5.3725216,5.343496749,5.307281115,5.265781699,5.220574414,5.172895058,5.123757599,5.073984398,5.025018348,4.981856438,4.949217223,4.931406167,4.932258685,3.698137,3.636984614,-1.681%,,3.4011132,0.9998957,0.9906834,3.698137,3.636984614,-1.681%
44,44,44,5.3563142,1.0036413,1.0063999,Atmospheric Temperature (deg C above preindustrial),0.8,1.026329431,1.264933071,1.517421041,1.785423967,2.070385088,2.373426606,2.695276098,3.036240212,3.396214314,3.774537177,4.169855751,4.58053415,5.004701939,5.440299949,5.885119735,6.336833267,6.793009145,7.251109755,7.705246039,8.150376808,8.582162496,8.996950199,9.391667329,9.763687603,10.1106939,10.43054515,10.72114629,10.98031648,11.2056478,11.39434397,11.54302546,11.65382227,11.73293396,11.78575007,11.81693443,11.8305034,11.82989812,11.81805112,11.79744728,11.77017929,11.73799792,11.7023573,11.66445533,11.62526983,11.58559036,11.51797215,11.42702397,11.31681352,11.1909028,11.05239493,10.90398956,10.74777227,10.58554565,10.41885591,10.24902006,10.07715232,9.904189202,9.730912665,9.557971172,7.185855,7.251109755,0.900%,,5.3563142,1.0036413,1.0063999,7.185855,7.251109755,0.900%
45,45,45,3.1945284,1.0001689,1.0037527,Atmospheric Temperature (deg C above preindustrial),0.8,0.939967612,1.089144925,1.247633993,1.415486525,1.592633084,1.77884928,1.973748352,2.176791474,2.387308868,2.604526419,2.827593918,3.055612271,3.287657918,3.522803427,3.760133617,3.998756732,4.237809981,4.476458163,4.711341135,4.941280625,5.165311861,5.382665833,5.592744447,5.795003631,5.988746683,6.173424168,6.348599864,6.513922375,6.669101266,6.813886754,6.948052116,7.071378112,7.183638769,7.284587931,7.373946011,7.451386323,7.516520326,7.568880954,7.607903007,7.632899191,7.643029819,7.638624186,7.622971758,7.598807904,7.568391983,7.522402001,7.464356366,7.397211505,7.323437615,7.245087498,7.163859768,7.081034755,6.997667668,6.914615557,6.832563201,6.752047233,6.673478183,6.600563392,6.562018888,4.443941,4.476458163,0.726%,,3.1945284,1.0001689,1.0037527,4.443941,4.476458163,0.726%
46,46,46,4.8763884,0.9996175,0.9986355,Atmospheric Temperature (deg C above preindustrial),0.8,1.008978651,1.227659369,1.455441631,1.691728973,1.9358671,2.187117262,2.444652844,2.707570193,2.974907145,3.245664706,3.518828889,3.793390882,4.068364542,4.342800848,4.615799315,4.886516688,5.154173448,5.418058875,5.674471575,5.923469156,6.165082999,6.399314967,6.626139919,6.845510519,7.057362483,7.261619347,7.458196355,7.647003369,7.827946805,8.000930694,8.165856973,8.322625108,8.471131147,8.611266276,8.742914942,8.865952576,8.980242953,9.085635174,9.181960288,9.269027502,9.346619942,9.414489873,9.472353224,9.519883145,9.556702031,9.567716548,9.557562443,9.53024385,9.489201506,9.437377855,9.377279132,9.310936231,9.240070379,9.166127914,9.090313349,9.013620151,8.936858947,8.861661475,8.811789281,5.497061,5.418058875,-1.458%,,4.8763884,0.9996175,0.9986355,5.497061,5.418058875,-1.458%
47,47,47,5.3153094,1.0013494,0.9948775,Atmospheric Temperature (deg C above preindustrial),0.8,1.024871397,1.259495295,1.502956203,1.754437877,2.013128607,2.278174648,2.548664594,2.823632541,3.102071623,3.382952281,3.665241697,3.947922273,4.230008134,4.51055938,4.788694508,5.063602042,5.334553324,5.600919696,5.858998658,6.109259853,6.351996399,6.587377014,6.815482159,7.036329553,7.249892418,7.456112631,7.654910182,7.846189902,8.029846111,8.205765669,8.373829748,8.533914603,8.68589151,8.829626018,8.964976627,9.091792951,9.20991342,9.319162565,9.419347868,9.510256182,9.591649692,9.663261326,9.724789489,9.77589186,9.816177689,9.830655214,9.823892007,9.79984053,9.761903345,9.71299575,9.655605795,9.59175506,9.523160788,9.451269697,9.377290202,9.302222444,9.226885858,9.152520878,9.10262936,5.649683,5.600919696,-0.871%,,5.3153094,1.0013494,0.9948775,5.649683,5.600919696,-0.871%
48,48,48,2.6458941,1.0011136,0.990163,Atmospheric Temperature (deg C above preindustrial),0.8,0.911864054,1.031266088,1.156512619,1.286177487,1.419018115,1.55392699,1.689904849,1.826046658,1.961534604,2.095634573,2.22769398,2.357139871,2.483476841,2.606284806,2.725217077,2.839999653,2.950433318,3.05640112,3.155513968,3.248915964,3.337491313,3.421909939,3.502667206,3.580117758,3.654503896,3.725979034,3.794626884,3.860476956,3.923516944,3.983702516,4.040964917,4.095216778,4.146356445,4.194271078,4.238838737,4.279929639,4.31740671,4.35112554,4.380933838,4.406670417,4.42816377,4.445230225,4.457671689,4.465272912,4.467798188,4.455775567,4.432578699,4.400986687,4.36327591,4.321299769,4.276558301,4.23019863,4.183139628,4.138368989,4.099125542,4.068535089,4.049523068,4.044731604,4.056506434,3.068909,3.05640112,-0.409%,,2.6458941,1.0011136,0.990163,3.068909,3.05640112,-0.409%
49,49,49,3.6633976,1.0023783,0.9984221,Atmospheric Temperature (deg C above preindustrial),0.8,0.961083485,1.131029041,1.309620338,1.496688702,1.692010022,1.895251494,2.105952269,2.323526053,2.54727682,2.776421331,3.010114112,3.24747212,3.487597456,3.729597403,3.972601762,4.215778085,4.458346149,4.699593962,4.936211901,5.167729833,5.393610417,5.613331226,5.826422455,6.032480745,6.231170551,6.422219357,6.605410167,6.780573078,6.947576864,7.106321002,7.256728312,7.398738229,7.532300679,7.657370467,7.773902109,7.881845,7.981138859,8.071619626,8.152779443,8.224130375,8.285185008,8.335438013,8.374347698,8.401316026,8.415665705,8.406521293,8.378483957,8.33548015,8.280843289,8.21738922,8.147486298,8.073016388,7.99555311,7.916398821,7.83661935,7.757076005,7.678454635,7.605314898,7.561199795,4.705639,4.699593962,-0.129%,,3.6633976,1.0023783,0.9984221,4.705639,4.699593962,-0.129%
