I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Level,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,Mode
1,1,4,1,0.99,1.005,Social Cost of Carbon,4.462866378,5.254042799,6.063332707,6.894501772,7.746343925,8.613993948,9.489889363,10.36445855,11.2266381,12.0643218,12.86484635,13.61563239,14.30512554,14.92422223,15.46842203,15.94103424,16.35792809,16.75472282,17.19858161,17.96448444,18.94741302,20.08198069,21.32649692,22.65375399,24.04548885,25.48895369,26.97474453,28.49539977,30.04447537,31.61591451,33.20359507,34.80097838,36.40080716,37.99481406,39.57340991,41.12532177,42.63714721,44.09278062,45.47264651,46.75264179,47.90509506,48.9043157,49.72028572,50.3183348,50.6588607,50.69716403,50.38344356,49.66290054,48.47562097,46.75521499,43.41653739,40.77484819,37.25086205,32.88409535,27.74793277,21.97730445,15.80310874,9.600833306,3.978493431,0,Base
1,1,5,1,0.99,1.01,Social Cost of Carbon,5.745372583,6.869723965,8.04178135,9.266178288,10.54044356,11.85622408,13.2002957,14.55537476,15.90082895,17.21342296,18.46826918,19.64020111,20.70585245,21.64681106,22.45433564,23.13631071,23.72751875,24.30544421,25.01758599,26.1444638,27.55039514,29.15128384,30.89392891,32.74402077,34.67890884,36.68312087,38.7455284,40.85751993,43.01179656,45.20155084,47.41987622,49.65930785,51.91142783,54.16648809,56.4130154,58.63736909,60.82322416,62.9509517,64.99686422,66.93228667,68.7224,70.32478044,71.68751203,72.74666062,73.42288147,73.64111179,73.3265547,72.39621065,70.75907796,68.31450149,63.47021651,59.62005282,54.45219883,48.02876106,40.46709883,31.98035144,22.92623298,13.87357479,5.720815031,0,Base
1,2,1,1,0.995,0.99,Social Cost of Carbon,2.109614877,2.345848258,2.590441512,2.842217006,3.099560023,3.36096654,3.625328881,3.892077744,4.161241778,4.433452062,4.709895319,4.992198995,5.282206937,5.581571161,5.891035665,6.209215817,6.530579422,6.842243344,7.119257489,7.507876964,7.974706927,8.498506799,9.065382252,9.665921974,10.293476,10.94318049,11.61115088,12.2940323,12.9887029,13.69207265,14.40094003,15.11188343,15.82116987,16.52467099,17.21777768,17.89530805,18.55140345,19.17940947,19.77173943,20.31971806,20.81340796,21.24142101,21.59072358,21.84645226,21.99175141,22.00767588,21.87314784,21.56496212,21.05769153,20.32305175,18.89146665,17.76269591,16.25305575,14.37739916,12.16396852,9.666482216,6.979651873,4.2618587,1.776943127,0,Base
1,2,2,1,0.995,0.995,Social Cost of Carbon,2.592480273,2.952916776,3.335192427,3.738447099,4.160776685,4.59986904,5.053379902,5.51915196,5.995336537,6.480450413,6.973382126,7.473347157,7.97977596,8.492099553,9.009370679,9.529619873,10.04879027,10.55902002,11.04595638,11.6831101,12.42650141,13.24800394,14.12916682,15.05751125,16.02424032,17.02278995,18.04789394,19.09496697,20.15968275,21.237667,22.32424984,23.41423517,24.50164872,25.57942489,26.64006058,27.67599322,28.67850658,29.63756825,30.54163293,31.37741187,32.12961131,32.78064706,33.31034934,33.6956808,33.91050046,33.92541108,33.70771455,33.22143642,32.42719707,31.28125349,29.05944692,27.30558849,24.96513393,22.06258461,18.64375417,14.79432746,10.66339327,6.497381658,2.702115561,0,Base
1,2,3,1,0.995,1,Social Cost of Carbon,3.229657293,3.759181366,4.332144415,4.948555268,5.60648721,6.302736087,7.03323956,7.793340378,8.577950173,9.381656185,10.19880816,11.02362456,11.85036586,12.6736393,13.48892568,14.29345797,15.08763905,15.87727682,16.67708912,17.66822745,18.79574818,20.024459,21.33130154,22.7007386,24.12188114,25.58666175,27.08865276,28.62228543,30.18231817,31.76345602,33.3600573,34.96588378,36.573863,38.17583786,39.76228081,41.32194847,42.84144676,44.30466468,45.69201404,46.97937637,48.13840966,49.14334428,49.96403922,50.5656662,50.90842791,50.94739596,50.63250707,49.90866977,48.71564758,46.98669387,43.63124608,40.97612161,37.43418564,33.04519886,27.88300977,22.0833708,15.8785174,9.645983056,3.996860338,0,Base
1,2,4,1,0.995,1.005,Social Cost of Carbon,4.067825386,4.825102899,5.65826593,6.568947058,7.555514504,8.613639203,9.736668772,10.91586996,12.14059631,13.39844454,14.67548293,15.95667061,17.22664207,18.47111307,19.67928343,20.84778663,21.98701869,23.13123666,24.35524499,25.80620486,27.42037167,29.15714291,30.99017631,32.901971,34.880478,36.91694027,39.00449205,41.13723004,43.30957575,45.51581315,47.74972561,50.00428059,52.27132587,54.54126943,56.80271982,59.04206536,61.24296966,63.38575848,65.4466676,67.39691354,69.20153526,70.81793074,72.1939676,73.26545855,73.95274378,74.17794098,73.86569458,72.93233083,71.28607754,68.82541481,63.94598784,60.06726195,54.86006221,48.38709136,40.76692115,32.21482849,23.09190258,13.9719243,5.760388484,0,Base
1,2,5,1,0.995,1.01,Social Cost of Carbon,5.178432961,6.242780068,7.430316964,8.745347273,10.18692008,11.74912836,13.42129891,15.18812198,17.02978925,18.92224677,20.83773109,22.74584845,24.61558799,26.41884298,28.13627032,29.76670479,31.34203486,32.95105795,34.78060222,36.88012853,39.18665387,41.66127178,44.2807544,47.03159149,49.90624752,52.90075026,56.01308353,59.24205639,62.5864375,66.04421093,69.61184861,73.28351266,77.05010451,80.89806485,84.80779603,88.75151089,92.69018003,96.56902061,100.3212456,103.8983734,107.2406548,110.2753855,112.9146298,115.0581908,116.6354358,117.5768815,117.6660873,116.7456994,114.6420216,111.1627188,103.6982,97.72207256,89.48992011,79.08466821,66.70299009,52.72283931,37.77738019,22.84690187,9.425272721,0,Base
1,3,1,1,1,0.99,Social Cost of Carbon,1.9885316,2.224592505,2.492714996,2.789011012,3.110544714,3.455323781,3.822334993,4.211597266,4.624219148,5.062446031,5.529669322,6.030343873,6.569714578,7.153175748,7.784956952,8.465618518,9.187529072,9.927165341,10.63321916,11.40916574,12.240714,13.11819775,14.03480774,14.98546661,15.96610258,16.9731732,18.00334523,19.05326953,20.11941034,21.19789852,22.28438697,23.37388495,24.46054781,25.53738597,26.59700691,27.63189165,28.63335772,29.59140052,30.49450034,31.32939403,32.08081374,32.73120452,33.26042763,33.6454807,33.86026101,33.87541403,33.65828652,33.17295585,32.38009366,31.23601532,29.01760677,27.2664246,24.92945219,22.03114636,18.61724957,14.77332475,10.64825725,6.488144667,2.698264452,0,Base
1,3,2,1,1,0.995,Social Cost of Carbon,2.420972724,2.774665429,3.180543629,3.635943513,4.138632623,4.686854457,5.27941669,5.915789145,6.596195193,7.321682773,8.094153207,8.916307102,9.791432989,10.72290785,11.71318649,12.7619101,13.86254605,14.99669369,16.12502073,17.32566975,18.58748068,19.90267244,21.26552873,22.67154577,24.11687221,25.59793303,27.11116741,28.65283477,30.21885806,31.8046833,33.40513968,35.01428769,36.62524405,38.22997096,39.81901562,41.38118072,42.90309939,44.36867475,45.75832247,47.04791841,48.20890353,49.21550031,50.03754492,50.64016944,50.98352371,51.02261346,50.70729764,49.98239552,48.7875704,47.05596327,43.69538853,41.03612065,37.48867888,33.09290307,27.92279775,22.11439148,15.90036088,9.658894277,4.002022913,0,Base
1,3,3,1,1,1,Social Cost of Carbon,2.982379651,3.493600905,4.086811921,4.76154989,5.517031475,6.352147558,7.265516115,8.255548481,9.320507749,10.45855043,11.66774931,12.94609961,14.29151331,15.70181,17.17471668,18.70789669,20.29903937,21.94606261,23.64751242,25.40351521,27.21373494,29.07743535,30.99351053,32.96049008,34.97652297,37.03934256,39.14621356,41.29386046,43.47837574,45.69510501,47.93850484,50.20196778,52.47760742,54.75599433,57.0258316,59.27355587,61.48284602,63.6340176,65.7032745,67.66178095,69.47450242,71.09874009,72.48223826,73.56065635,74.25412997,74.48313088,74.17200343,73.23670185,71.58502197,69.1149546,64.21529893,60.32006273,55.09024484,48.5889078,40.93535027,32.34611779,23.1842793,14.02647569,5.782196318,0,Base
