"New Run",1.0000000000,1.0000000000,1.0000000000,"Temperature Sensitivity Parameter","Total Factor Productivity Growth","Population Growth",2.0349380330,1.0004729730,1.0088905670
"Year",2010.0000000000,2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000
"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Model Status",2.0000000000
"** World Economic Parameters"
"* OUTPUT AND CAPTIAL ACCUMULATION"
"Capital Share",0.3000000000
"Depreciation",0.1000000000
"World Capital Risk Premium","Not Supported ?"
"Fraction Diversifiable Risk","Not Supported ?"
"Diversifiable Risk ( per year)","Not Supported ?"
"Depreciation with no Risk (per year)","Not Supported ?"
"Initial Output (2005 US International $, trillions)",63.5819868191
"Initial K (Capital Stock)",135.0000000000
"Initial A (Total Factor Productivity)",3.8000000000
"* WELFARE"
"Time Preference plus Risk (per year)",0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000,0.0150000000
"Time Premium",0.0150000000
"Non-Diversifiable Global Risk (per year)","Not Supported ?"
